time,open,high,low,close,volume,time,RSI
2019-08-09,26337.0898,26413.3594,26097.6406,26287.4395,240260000,2019-08-09,41.3601
2019-08-08,26086.5195,26383.6094,26038.0996,26378.1895,282530000,2019-08-08,29.7427
2019-08-07,25814.2207,26073.2109,25440.3906,26007.0703,344790000,2019-08-07,13.4356
2019-08-06,25810.6191,26038.6797,25710.8691,26029.5195,318160000,2019-08-06,13.2024
2019-08-05,26259.2305,26259.2305,25523.3809,25717.7402,422240000,2019-08-05,18.6887
2019-08-02,26528.6602,26570.0195,26249.2207,26485.0098,327640000,2019-08-02,23.9100
2019-08-01,26879.8594,27175.5898,26548.7109,26583.4199,386320000,2019-08-01,35.0923
2019-07-31,27244.6699,27281.6504,26719.5996,26864.2695,385150000,2019-07-31,61.0389
2019-07-30,27145.3906,27224.3594,27069.8594,27198.0195,293250000,2019-07-30,52.7135
2019-07-29,27192.2402,27275.8496,27178.0605,27221.3496,250850000,2019-07-29,57.8146
2019-07-26,27166.0000,27213.6992,27123.2500,27192.4492,233650000,2019-07-26,55.7144
2019-07-25,27247.3906,27298.4297,27062.4805,27140.9805,241420000,2019-07-25,64.4189
2019-07-24,27262.2402,27291.0391,27191.1191,27269.9707,244320000,2019-07-24,66.0667
2019-07-23,27231.8594,27368.8105,27204.5801,27349.1895,248850000,2019-07-23,64.4382
2019-07-22,27174.1797,27227.7695,27088.9004,27171.9004,216310000,2019-07-22,61.3576
2019-07-19,27246.3809,27342.9609,27145.7793,27154.1992,287690000,2019-07-19,67.7896
2019-07-18,27191.9805,27266.8105,27068.7891,27222.9707,216070000,2019-07-18,65.3983
2019-07-17,27320.9102,27343.0605,27218.3809,27219.8496,193930000,2019-07-17,77.2993
2019-07-16,27349.3203,27398.6797,27290.2402,27335.6309,226000000,2019-07-16,80.1101
2019-07-15,27364.6895,27364.6895,27294.1699,27359.1602,199730000,2019-07-15,81.5131
2019-07-12,27139.4902,27333.7891,27135.4492,27332.0293,248390000,2019-07-12,76.1599
2019-07-11,26950.1602,27088.4492,26916.3203,27088.0801,252300000,2019-07-11,69.7070
2019-07-10,26851.9609,26983.4492,26813.1094,26860.1992,207990000,2019-07-10,65.4647
2019-07-09,26725.1191,26807.6992,26665.5703,26783.4902,218330000,2019-07-09,58.9705
2019-07-08,26835.6406,26839.1406,26744.8691,26806.1406,214290000,2019-07-08,68.8400
2019-07-05,26867.7500,26950.8105,26733.3301,26922.1191,192170000,2019-07-05,71.8989
2019-07-03,26832.3203,26966.0000,26831.4395,26966.0000,149840000,2019-07-03,70.6393
2019-07-02,26719.5293,26787.5605,26632.6504,26786.6797,219270000,2019-07-02,66.4502
2019-07-01,26805.8594,26890.6406,26616.2109,26717.4297,267670000,2019-07-01,73.4707
2019-06-28,26605.9297,26638.3496,26522.2695,26599.9609,499350000,2019-06-28,66.2438
2019-06-27,26523.7207,26607.2402,26465.3203,26526.5801,246930000,2019-06-27,62.5759
2019-06-26,26599.4199,26660.0391,26536.3301,26536.8203,274340000,2019-06-26,68.5800
2019-06-25,26731.6094,26752.3105,26527.6602,26548.2207,282160000,2019-06-25,80.3615
2019-06-24,26727.6094,26806.5195,26723.3691,26727.5391,232390000,2019-06-24,80.2718
2019-06-21,26749.1191,26907.3691,26705.8691,26719.1309,485560000,2019-06-21,82.0356
2019-06-20,26665.3809,26798.6309,26539.6895,26753.1699,278170000,2019-06-20,80.5822
2019-06-19,26490.1602,26569.7500,26415.0508,26504.0000,240950000,2019-06-19,77.2058
2019-06-18,26228.8809,26527.1895,26227.7598,26465.5391,273490000,2019-06-18,70.5168
2019-06-17,26108.5293,26165.7793,26049.8008,26112.5293,199500000,2019-06-17,66.5619
2019-06-14,26076.3594,26162.2793,25988.0898,26089.6094,208020000,2019-06-14,65.4789
2019-06-13,26036.9395,26146.9102,25995.7109,26106.7695,213400000,2019-06-13,64.2369
2019-06-12,26040.3008,26082.0996,25958.6602,26004.8301,223690000,2019-06-12,64.4098
2019-06-11,26180.5898,26248.6699,25998.8691,26048.5098,253490000,2019-06-11,71.4309
2019-06-10,26090.2207,26210.6094,26054.3105,26062.6797,249280000,2019-06-10,69.5607
2019-06-07,25768.7207,26072.7500,25768.7207,25983.9395,263010000,2019-06-07,61.7701
2019-06-06,25567.4492,25800.3008,25518.0508,25720.6602,248070000,2019-06-06,55.5364
2019-06-05,25451.0000,25544.6602,25373.5801,25539.5703,262660000,2019-06-05,51.5357
2019-06-04,24962.8203,25343.7695,24962.8203,25332.1797,281690000,2019-06-04,27.6600
2019-06-03,24830.1602,24935.2109,24680.5703,24819.7793,328240000,2019-06-03,18.0618
2019-05-31,25046.3105,25046.3105,24809.5098,24815.0391,292230000,2019-05-31,22.2755
2019-05-30,25139.9395,25218.5391,25066.7500,25169.8809,215240000,2019-05-30,24.4362
2019-05-29,25231.4609,25231.4609,24938.2402,25126.4102,298930000,2019-05-29,26.6469
2019-05-28,25616.5508,25717.6309,25342.2793,25347.7695,358980000,2019-05-28,39.9553
2019-05-24,25551.0703,25670.8105,25496.1992,25585.6895,201370000,2019-05-24,35.1354
2019-05-23,25657.9902,25657.9902,25328.0898,25490.4707,316940000,2019-05-23,39.6871
2019-05-22,25818.4609,25878.2109,25755.1094,25776.6094,241760000,2019-05-22,47.8231
2019-05-21,25782.3398,25898.2695,25779.6094,25877.3301,260870000,2019-05-21,45.6277
2019-05-20,25655.3105,25751.7109,25560.5508,25679.9004,279560000,2019-05-20,37.5407
2019-05-17,25719.9492,25948.7402,25657.7793,25764.0000,283760000,2019-05-17,40.2031
2019-05-16,25692.1406,25957.6309,25692.1406,25862.6797,320960000,2019-05-16,38.5629
2019-05-15,25400.1309,25724.8906,25341.9395,25648.0195,270720000,2019-05-15,17.8629
2019-05-14,25384.0293,25688.9609,25384.0293,25532.0508,291570000,2019-05-14,16.5056
2019-05-13,25568.0605,25568.0605,25222.5098,25324.9902,361240000,2019-05-13,19.7733
2019-05-10,25763.7207,26019.3203,25469.8594,25942.3691,294580000,2019-05-10,24.2373
2019-05-09,25878.8496,25884.8906,25517.3906,25828.3594,334760000,2019-05-09,27.4250
2019-05-08,25933.7891,26118.0996,25889.4102,25967.3301,276420000,2019-05-08,29.0186
2019-05-07,26276.9004,26276.9004,25789.7109,25965.0898,334960000,2019-05-07,42.5202
2019-05-06,26160.6191,26476.2695,26033.9492,26438.4805,283020000,2019-05-06,33.3202
2019-05-03,26379.1406,26534.9609,26370.0898,26504.9492,248900000,2019-05-03,45.2221
2019-05-02,26407.1504,26454.6895,26180.3594,26307.7891,287610000,2019-05-02,47.1094
2019-05-01,26639.0605,26689.3906,26426.3809,26430.1406,303850000,2019-05-01,67.5255
2019-04-30,26594.5605,26614.0391,26419.4707,26592.9102,340320000,2019-04-30,64.9771
2019-04-29,26559.8691,26602.5391,26520.7500,26554.3906,279450000,2019-04-29,62.9963
2019-04-26,26454.6191,26543.5605,26392.5508,26543.3301,317290000,2019-04-26,56.4591
2019-04-25,26426.3691,26536.4805,26310.2793,26462.0801,296730000,2019-04-25,54.5743
2019-04-24,26652.5605,26680.5801,26582.8594,26597.0508,283370000,2019-04-24,78.3286
2019-04-23,26513.8301,26695.9609,26503.5605,26656.3906,311690000,2019-04-23,71.7235
2019-04-22,26510.7695,26553.0508,26458.6094,26511.0508,232570000,2019-04-22,71.5561
2019-04-18,26463.3691,26602.4199,26444.5293,26559.5391,332850000,2019-04-18,69.0759
2019-04-17,26468.5293,26501.0195,26391.8594,26449.5391,367780000,2019-04-17,69.6545
2019-04-16,26482.1895,26530.7109,26397.1895,26452.6602,302340000,2019-04-16,71.0325
2019-04-15,26407.7598,26424.8496,26316.4199,26384.7695,250620000,2019-04-15,68.0157
2019-04-12,26357.7891,26436.6797,26309.7207,26412.3008,369910000,2019-04-12,65.9314
2019-04-11,26188.2109,26229.8809,26062.5898,26143.0508,211680000,2019-04-11,57.7571
2019-04-10,26173.7109,26209.4902,26101.2402,26157.1602,203130000,2019-04-10,56.9849
2019-04-09,26243.5391,26246.3398,26103.1406,26150.5801,244410000,2019-04-09,61.7405
2019-04-08,26312.6699,26344.6504,26246.0293,26341.0195,229380000,2019-04-08,66.5518
2019-04-05,26427.5605,26487.5703,26370.8203,26424.9902,229550000,2019-04-05,75.0573
2019-04-04,26213.4199,26398.9004,26212.7793,26384.6309,233040000,2019-04-04,68.4895
2019-04-03,26238.0293,26282.1699,26138.4707,26218.1309,271980000,2019-04-03,70.3523
2019-04-02,26213.5508,26221.2402,26122.3105,26179.1309,250940000,2019-04-02,69.6335
2019-04-01,26075.0996,26280.9004,26071.6895,26258.4199,295570000,2019-04-01,65.4929
2019-03-29,25827.3105,25949.3203,25771.6699,25928.6797,300620000,2019-03-29,56.1238
2019-03-28,25693.3203,25743.4102,25576.6895,25717.4609,237170000,2019-03-28,49.6565
2019-03-27,25676.3398,25758.1699,25425.2695,25625.5898,270340000,2019-03-27,48.8199
2019-03-26,25649.5605,25796.2891,25544.7793,25657.7305,305110000,2019-03-26,47.6188
2019-03-25,25490.7207,25603.2695,25372.2598,25516.8301,303120000,2019-03-25,40.3541
2019-03-22,25844.6504,25877.0098,25501.4492,25502.3203,386510000,2019-03-22,55.3101
2019-03-21,25688.4395,26009.9004,25657.7793,25962.5098,335250000,2019-03-21,47.8452
2019-03-20,25867.7891,25929.5195,25670.6309,25745.6699,321980000,2019-03-20,57.4930
2019-03-19,25987.8691,26109.6797,25814.9199,25887.3809,342250000,2019-03-19,65.1946
2019-03-18,25801.8809,25924.7695,25785.6602,25914.0996,399530000,2019-03-18,57.4742
2019-03-15,25720.9609,25927.9102,25649.6992,25848.8691,616910000,2019-03-15,53.5519
2019-03-14,25692.3105,25752.8398,25621.3105,25709.9395,302790000,2019-03-14,52.1856
2019-03-13,25637.2305,25776.4902,25571.3105,25702.8906,331410000,2019-03-13,49.6966
2019-03-12,25600.3008,25675.4395,25522.1699,25554.6602,317730000,2019-03-12,48.1119
2019-03-11,25208.0000,25661.6309,25208.0000,25650.8809,309790000,2019-03-11,26.6279
2019-03-08,25347.3809,25466.1406,25252.4609,25450.2402,270500000,2019-03-08,30.5618
2019-03-07,25645.4492,25645.4492,25352.5508,25473.2305,289140000,2019-03-07,42.2381
2019-03-06,25818.7598,25837.6094,25633.7109,25673.4609,256250000,2019-03-06,52.4291
2019-03-05,25829.0703,25877.1504,25725.6309,25806.6309,252260000,2019-03-05,53.0960
2019-03-04,26122.1895,26155.9805,25611.5508,25819.6504,295510000,2019-03-04,77.6711
2019-03-01,26019.6699,26143.9199,25914.3691,26026.3203,289890000,2019-03-01,73.9864
2019-02-28,25984.2793,26029.2109,25896.5605,25916.0000,338520000,2019-02-28,72.6217
2019-02-27,25995.5996,26039.6797,25877.2402,25985.1602,255380000,2019-02-27,73.7039
2019-02-26,26051.6094,26155.2891,25966.0098,26057.9805,257850000,2019-02-26,78.7867
2019-02-25,26126.1504,26241.4199,26080.6602,26091.9492,281600000,2019-02-25,85.6662
2019-02-22,25906.2695,26052.9004,25906.2695,26031.8105,279760000,2019-02-22,81.4958
2019-02-21,25922.4102,25938.8809,25762.2109,25850.6309,255710000,2019-02-21,83.0478
2019-02-20,25872.2598,25986.1992,25846.4805,25954.4395,287880000,2019-02-20,82.1222
2019-02-19,25849.8496,25961.4395,25820.0098,25891.3203,280620000,2019-02-19,81.7322
2019-02-15,25564.6309,25883.7207,25564.6309,25883.2500,328530000,2019-02-15,75.8701
2019-02-14,25460.6504,25558.9004,25308.0898,25439.3906,313010000,2019-02-14,73.1185
2019-02-13,25480.8594,25625.9492,25480.8594,25543.2695,263330000,2019-02-13,74.5645
2019-02-12,25152.0293,25458.9805,25152.0293,25425.7598,278110000,2019-02-12,64.5957
2019-02-11,25142.8105,25196.7500,25009.0996,25053.1094,241700000,2019-02-11,64.2520
2019-02-08,25042.3594,25106.3906,24883.0391,25106.3301,248210000,2019-02-08,60.6060
2019-02-07,25265.8105,25314.2598,25000.5195,25169.5293,295460000,2019-02-07,75.6178
2019-02-06,25371.5703,25439.0391,25312.0605,25390.3008,247590000,2019-02-06,84.2614
2019-02-05,25287.9297,25427.3203,25287.6504,25411.5195,310650000,2019-02-05,82.9096
2019-02-04,25062.1191,25239.9102,24977.6699,25239.3691,298540000,2019-02-04,78.5591
2019-02-01,25025.3105,25193.1504,24982.4902,25063.8906,372090000,2019-02-01,77.7512
2019-01-31,24954.4805,25049.6191,24842.0898,24999.6699,507350000,2019-01-31,76.2443
2019-01-30,24826.5195,25109.6191,24790.9004,25014.8594,397330000,2019-01-30,73.3957
2019-01-29,24519.6191,24674.8691,24504.0391,24579.9609,330870000,2019-01-29,64.4499
2019-01-28,24596.9805,24596.9805,24323.9395,24528.2207,347170000,2019-01-28,69.6128
2019-01-25,24687.2109,24860.1504,24676.7500,24737.1992,376890000,2019-01-25,75.8106
2019-01-24,24579.9609,24626.3008,24422.7305,24553.2402,320170000,2019-01-24,73.3421
2019-01-23,24577.2500,24700.9805,24307.1699,24575.6191,318600000,2019-01-23,73.2818
2019-01-22,24607.7598,24607.7598,24244.3105,24404.4805,338480000,2019-01-22,74.9515
2019-01-18,24534.1895,24750.2207,24459.0293,24706.3496,372970000,2019-01-18,73.6865
2019-01-17,24147.0898,24474.4609,24088.9004,24370.0996,288590000,2019-01-17,65.7153
2019-01-16,24139.9102,24288.6094,24119.7207,24207.1602,302830000,2019-01-16,65.5460
2019-01-15,23914.1094,24099.1406,23887.9297,24065.5898,291570000,2019-01-15,60.1246
2019-01-14,23880.5293,23964.9004,23765.2402,23909.8398,277560000,2019-01-14,59.2911
2019-01-11,23940.0098,23996.3203,23798.1602,23995.9492,262650000,2019-01-11,61.2763
2019-01-10,23811.1094,24014.7793,23703.2500,24001.9199,338150000,2019-01-10,58.6510
2019-01-09,23844.2695,23985.4492,23776.5605,23879.1191,324570000,2019-01-09,59.5599
2019-01-08,23680.3203,23864.6504,23581.4492,23787.4492,317420000,2019-01-08,56.6539
2019-01-07,23474.2598,23687.7402,23301.5898,23531.3496,334200000,2019-01-07,52.9345
2019-01-04,22894.9199,23518.6406,22894.9199,23433.1602,396020000,2019-01-04,40.3407
2019-01-03,23176.3906,23176.3906,22638.4102,22686.2207,424240000,2019-01-03,45.5186
2019-01-02,23058.6094,23413.4707,22928.5898,23346.2402,321570000,2019-01-02,42.8319
2018-12-31,23153.9395,23333.1797,23118.3008,23327.4609,288830000,2018-12-31,44.3819
2018-12-28,23213.6094,23381.8809,22981.3301,23062.4004,336510000,2018-12-28,45.2793
2018-12-27,22629.0605,23138.8906,22267.4199,23138.8203,407940000,2018-12-27,33.8063
2018-12-26,21857.7305,22878.9199,21712.5293,22878.4492,433080000,2018-12-26,12.6642
2018-12-24,22317.2793,22339.8691,21792.1992,21792.1992,308420000,2018-12-24,15.1942
